SAMPLING EVENT IDENTIFIER,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES
S80376372,37.06096445677006,-84.63335595604734,2021-02-03,10:55:00,obs1644106,90.0
S80681260,37.69787575677006,-77.62617885604735,2021-02-08,08:05:00,obs50219,15.0
S80524052,37.00626545677006,-76.30801025604734,2021-02-06,12:10:00,obs788432,54.0
S80678762,37.47249045677006,-122.30916915604735,2021-02-08,12:54:00,obs1171407,249.0
S80731257,36.978896756770055,-121.81726585604734,2021-02-09,15:39:00,obs198637,62.0
S80562810,37.076464556770055,-113.58282675604734,2021-02-06,15:35:00,obs169626,60.0
S80380069,37.06096445677006,-84.63335595604734,2021-02-03,10:00:00,obs1646000,20.0
S83115858,37.273415056770055,-97.40103605604735,2021-02-08,16:36:00,obs856612,5.0
S80559530,36.91869315677006,-76.04196725604734,2021-02-06,12:00:00,obs678631,60.0
S80371968,37.35229675677006,-121.95149285604734,2021-02-03,11:16:00,obs53116,18.0
S80739388,37.44325975677006,-115.18391385604734,2021-02-09,15:28:00,obs1685777,
S81782778,37.77016235677006,-122.44202405604734,2021-02-06,14:30:00,obs2265043,120.0
S80711430,37.30027675677006,-107.86126185604735,2021-02-09,11:41:00,obs2176335,
S80790535,37.36602225677006,-108.51651255604735,2021-02-07,16:17:00,obs960939,74.0
S80672443,36.92944035677006,-94.07964045604734,2021-02-08,15:40:00,obs278374,15.0
S80687182,37.45671085677006,-122.44449435604734,2021-02-08,09:21:00,obs54836,30.0
S80311230,37.511899756770056,-77.46502185604734,2021-02-02,11:28:00,obs1150525,
S80421167,37.50127475677006,-122.22520765604735,2021-02-04,09:54:00,obs155271,83.0
S80276429,36.931886756770055,-76.18012325604734,2021-02-01,15:11:00,obs507632,29.0
S80288521,37.50127475677006,-122.22520765604735,2021-02-01,13:40:00,obs293084,70.0
S80556356,37.59021975677006,-121.60802995604735,2021-02-06,12:27:00,obs61008,5.0
S80662818,37.74044905677006,-122.37316905604735,2021-02-08,11:16:00,obs1641937,74.0
S80449432,37.11103105677006,-80.59172865604734,2021-02-05,07:20:00,obs60282,28.0
S80375180,37.511899756770056,-77.46502185604734,2021-02-03,15:32:00,obs1150525,
S80419549,37.02952165677006,-88.68263895604734,2021-02-03,14:10:00,obs360645,
S80524113,37.26597375677006,-107.88249385604735,2021-02-05,06:00:00,obs419282,600.0
S80296449,37.41591375677006,-121.93982585604735,2021-02-01,10:25:00,obs1389775,5.0
S80352144,37.19261635677006,-94.93661795604734,2021-02-03,07:03:00,obs1392336,8.0
S80528335,37.02415175677006,-76.39559885604734,2021-02-06,13:40:00,obs2190932,15.0
S80421255,36.95292175677006,-122.06684585604734,2021-02-04,11:23:00,obs1456095,
S80444425,37.41591375677006,-121.93982585604735,2021-02-04,10:50:00,obs1389775,5.0
S80421807,37.25264215677006,-108.67702215604734,2021-02-04,11:01:00,obs1652042,55.0
S80553788,37.32884575677006,-122.18006785604734,2021-02-06,15:00:00,obs296051,
S80545322,37.64600075677006,-77.55377985604734,2021-02-06,16:31:00,obs1434423,44.0
S80511908,37.19261635677006,-94.93661795604734,2021-02-06,09:18:00,obs1392336,26.0
S80552871,37.73616985677006,-89.14885935604734,2021-02-06,15:55:00,obs695562,
S80626000,36.940577356770056,-103.53406545604734,2021-02-07,09:28:00,obs253195,4.0
S80520786,36.931886756770055,-76.18012325604734,2021-02-06,11:58:00,obs543180,25.0
S80304183,37.696040356770055,-89.02265185604735,2021-02-02,07:54:00,obs1387785,15.0
S80288925,36.962367556770054,-121.77295505604734,2021-02-01,16:34:00,obs1607930,17.0
S80300377,37.36105475677006,-90.02431285604735,2021-02-02,06:02:00,obs515389,10.0
S80281739,36.973237256770055,-121.91380325604734,2021-02-01,08:15:00,obs1983864,240.0
S80590675,37.29631475677006,-121.91099285604734,2021-02-07,08:29:00,obs168076,56.0
S80642284,37.19261635677006,-94.93661795604734,2021-02-08,08:54:00,obs1392336,5.0
S80686634,37.41591375677006,-121.93982585604735,2021-02-08,13:10:00,obs1389775,5.0
S80688191,37.11326595677006,-121.14047905604734,2021-02-06,11:00:00,obs2202288,145.0
S80699251,37.29139775677006,-81.90338085604735,2021-02-08,08:45:00,obs372206,120.0
S80424316,36.931886756770055,-76.18012325604734,2021-02-04,15:01:00,obs279010,13.0
S80302018,37.69787575677006,-77.62617885604735,2021-02-01,08:05:00,obs50219,10.0
S80273421,37.353760656770056,-79.92797415604734,2021-02-01,14:40:00,obs1439752,10.0
S80439031,37.37357475677006,-120.42929285604734,2021-02-04,08:15:00,obs1248073,255.0
S80439369,37.725260156770055,-119.63778795604735,2021-02-03,17:45:00,obs1219608,45.0
S80536666,36.962367556770054,-121.77295505604734,2021-02-05,12:45:00,obs324214,120.0
S80490074,37.45671085677006,-122.44449435604734,2021-02-05,08:28:00,obs54836,18.0
S80493843,37.73731815677006,-122.41876195604735,2021-02-05,15:40:00,obs1174064,15.0
S80545277,37.696040356770055,-89.02265185604735,2021-02-06,16:09:00,obs37891,4.0
S80605330,37.36105475677006,-90.02431285604735,2021-02-07,13:59:00,obs515389,20.0
S80572042,37.36105475677006,-90.02431285604735,2021-02-07,07:08:00,obs515389,15.0
S80619791,37.24440775677006,-80.37338385604734,2021-02-07,11:30:00,obs1310350,15.0
S80660986,37.414102756770056,-118.33930085604734,2021-02-08,09:03:00,obs131789,5.0
S80670567,37.36105475677006,-90.02431285604735,2021-02-08,16:04:00,obs515389,10.0
S80728224,37.29631475677006,-121.91099285604734,2021-02-04,07:05:00,obs168076,75.0
S80728401,37.29631475677006,-121.91099285604734,2021-02-06,07:00:00,obs168076,35.0
S80529629,37.47167975677006,-91.83414285604734,2021-02-06,13:10:00,obs1509540,
S80387564,37.50820365677006,-121.81549485604734,2021-02-03,09:50:00,obs215374,127.0
S80532437,36.94648875677006,-85.15670205604734,2021-02-06,13:46:00,obs619557,
S80455163,37.23303305677006,-79.98253025604734,2021-02-05,10:14:00,obs445872,35.0
S80553300,37.10738045677006,-76.33867795604735,2021-02-06,11:32:00,obs176123,13.0
S80553298,37.12205315677006,-76.45106135604735,2021-02-06,12:29:00,obs176123,
S80504776,37.13025975677006,-76.36680365604734,2021-02-06,07:00:00,obs137730,40.0
S80620871,37.50820365677006,-121.81549485604734,2021-02-07,11:30:00,obs883932,240.0
S80622319,37.79836925677006,-122.44982875604734,2021-02-07,13:27:00,obs2090769,177.0
S80668098,37.50820365677006,-121.81549485604734,2021-02-08,09:25:00,obs679120,140.0
S80637422,37.69787575677006,-77.62617885604735,2021-02-07,10:15:00,obs50219,50.0
S80669770,37.353760656770056,-79.92797415604734,2021-02-08,16:47:00,obs447758,15.0
S80432420,37.50127475677006,-122.22520765604735,2021-02-04,10:30:00,obs173455,90.0
S80461071,37.06096445677006,-84.63335595604734,2021-02-03,18:00:00,obs1646000,
S80431265,37.50127475677006,-122.22520765604735,2021-02-04,13:47:00,obs287486,15.0
S80493977,37.666962756770054,-121.68189885604734,2021-02-05,13:36:00,obs1210909,18.0
