SAMPLING EVENT IDENTIFIER,COMMON NAME,OBSERVATION COUNT
S80376372,White-crowned Sparrow,2
S80376372,Song Sparrow,3
S80376372,American Crow,1
S80376372,Mourning Dove,3
S80376372,Eastern Towhee,1
S80376372,Downy Woodpecker,2
S80376372,Northern Cardinal,5
S80376372,House Finch,6
S80376372,House Sparrow,1
S80376372,Red-bellied Woodpecker,1
S80376372,White-throated Sparrow,4
S80376372,Carolina Chickadee,2
S80376372,White-breasted Nuthatch,1
S80376372,American Goldfinch,4
S80376372,Tufted Titmouse,3
S80376372,Red-tailed Hawk,2
S80376372,Turkey Vulture,1
S80376372,Blue Jay,2
S80376372,American Robin,1
S80376372,Carolina Wren,3
S80376372,European Starling,50
S80376372,Northern Mockingbird,1
S80376372,sparrow sp.,1
S80681260,Carolina Wren,1
S80681260,American Crow,5
S80681260,Northern Cardinal,2
S80681260,White-breasted Nuthatch,2
S80681260,Red-shouldered Hawk,2
S80681260,White-throated Sparrow,3
S80681260,Pine Warbler,1
S80681260,Eastern Bluebird,2
S80681260,Brown Creeper,1
S80681260,Tufted Titmouse,2
S80681260,Mourning Dove,4
S80681260,Downy Woodpecker,1
S80681260,Dark-eyed Junco,30
S80681260,Red-bellied Woodpecker,2
S80681260,House Finch,6
S80681260,Blue Jay,2
S80681260,Northern Mockingbird,1
S80681260,American Goldfinch,3
S80681260,Carolina Chickadee,2
S80681260,American Robin,1
S80681260,Canada Goose,11
S80681260,Yellow-rumped Warbler,4
S80681260,Pine Siskin,1
S80524052,Ring-billed Gull,100
S80524052,European Starling,10
S80524052,Great Black-backed Gull,1
S80524052,Sanderling,8
S80524052,American Crow,1
S80524052,Herring Gull,1
S80524052,Surf Scoter,4
S80524052,Long-tailed Duck,2
S80524052,Common Loon,2
S80524052,Ruddy Duck,30
S80524052,Brown Pelican,20
S80524052,Song Sparrow,1
S80524052,Canada Goose,4
S80524052,Bufflehead,11
S80524052,Double-crested Cormorant,50
S80524052,Red-breasted Merganser,4
S80678762,Golden-crowned Sparrow,39
S80678762,Wild Turkey,54
S80678762,California Scrub-Jay,2
S80678762,Dark-eyed Junco,25
S80678762,Cedar Waxwing,2
S80678762,Hermit Thrush,2
S80678762,Anna's Hummingbird,4
S80678762,Acorn Woodpecker,19
S80678762,Red-shouldered Hawk,1
S80678762,American Crow,10
S80678762,Chestnut-backed Chickadee,3
S80678762,Yellow-rumped Warbler,3
S80678762,Western Bluebird,8
S80678762,Northern Flicker,1
S80678762,Pine Siskin,15
S80678762,Band-tailed Pigeon,12
S80678762,American Robin,12
S80678762,Turkey Vulture,2
S80678762,Mourning Dove,1
S80678762,Black Phoebe,4
S80678762,Great Blue Heron,1
S80678762,White-breasted Nuthatch,3
S80678762,Spotted Towhee,6
S80678762,House Finch,9
S80678762,Steller's Jay,2
S80678762,California Towhee,1
S80678762,Common Raven,1
S80678762,Purple Finch,2
S80678762,Red-tailed Hawk,1
S80731257,Red-shouldered Hawk,1
S80731257,Great Horned Owl,1
S80731257,Northern Flicker,4
S80731257,Yellow-rumped Warbler,1
S80731257,California Scrub-Jay,1
S80731257,Hairy Woodpecker,1
S80731257,European Starling,1
S80731257,House Finch,3
S80731257,American Robin,5
S80731257,Wrentit,2
S80731257,Chestnut-backed Chickadee,2
S80731257,Spotted Towhee,2
S80731257,Acorn Woodpecker,3
S80731257,Golden-crowned Sparrow,2
S80731257,American Crow,2
S80731257,Ruby-crowned Kinglet,2
S80731257,Black Phoebe,2
S80731257,Mourning Dove,3
S80562810,Song Sparrow,1
S80562810,Eurasian Collared-Dove,12
S80562810,Anna's Hummingbird,1
S80562810,European Starling,2
S80562810,Green-winged Teal,2
S80562810,Cooper's Hawk,1
S80562810,House Finch,5
S80562810,Ruddy Duck,6
S80562810,Verdin,1
S80562810,White-crowned Sparrow,9
S80562810,Mallard,27
S80562810,Great-tailed Grackle,1
S80562810,Mourning Dove,5
S80562810,Northern Shoveler,2
S80562810,Black Phoebe,1
S80562810,Abert's Towhee,3
S80562810,Canada Goose,98
S80562810,Say's Phoebe,2
S80562810,Bufflehead,3
S80562810,Gadwall,2
S80562810,Common Goldeneye,1
S80562810,American Wigeon,20
S80562810,Canvasback,15
S80562810,American Robin,1
S80562810,Red-tailed Hawk,1
S80562810,American Coot,75
S80562810,Yellow-rumped Warbler,13
S80380069,House Finch,6
S80380069,Mourning Dove,2
S80380069,White-breasted Nuthatch,2
S80380069,Carolina Chickadee,2
S80380069,Tufted Titmouse,3
S80380069,Northern Cardinal,3
S80380069,Downy Woodpecker,3
S80380069,European Starling,15
S80380069,American Goldfinch,4
S83115858,European Starling,2
S83115858,Downy Woodpecker,1
S80559530,Ruby-crowned Kinglet,1
S80559530,Red-breasted Merganser,8
S80559530,Brown Pelican,2
S80559530,gull sp.,10
S80559530,Willet,5
S80559530,Double-crested Cormorant,30
S80559530,Carolina Chickadee,1
S80559530,Pine Warbler,1
S80559530,Bufflehead,4
S80559530,shorebird sp.,12
S80559530,Great Black-backed Gull,2
S80559530,Purple Finch,4
S80371968,Red-tailed Hawk,2
S80371968,Yellow-rumped Warbler,10
S80371968,White-crowned Sparrow,1
S80371968,California Towhee,1
S80371968,American Crow,2
S80371968,Western Bluebird,2
S80371968,Lesser Goldfinch,1
S80371968,gull sp.,3
S80371968,House Finch,1
S80371968,Anna's Hummingbird,1
S80371968,Northern Mockingbird,1
S80371968,Pine Siskin,1
S80371968,Black Phoebe,2
S80739388,Loggerhead Shrike,2
S80739388,Horned Lark,25
S80739388,Common Raven,2
S81782778,Townsend's Warbler,X
S81782778,Anna's Hummingbird,X
S81782778,American Goldfinch,X
S81782778,Song Sparrow,X
S81782778,Northern Mockingbird,X
S81782778,Northern Flicker,X
S81782778,Dark-eyed Junco,X
S81782778,Nuttall's Woodpecker,X
S81782778,California Scrub-Jay,X
S81782778,Golden-crowned Sparrow,X
S81782778,Yellow-rumped Warbler,X
S80711430,House Finch,2
S80790535,Eurasian Collared-Dove,2
S80790535,Red-tailed Hawk,3
S80790535,Red-winged Blackbird,16
S80790535,Bald Eagle,1
S80790535,Northern Pintail,1
S80790535,European Starling,50
S80790535,Marsh Wren,1
S80790535,Northern Flicker,1
S80790535,Northern Harrier,1
S80790535,Loggerhead Shrike,1
S80790535,Song Sparrow,7
S80790535,Canada Goose,4
S80790535,Black-billed Magpie,4
S80790535,Mallard,3
S80672443,White-breasted Nuthatch,1
S80672443,Downy Woodpecker,1
S80672443,Blue Jay,4
S80672443,Dark-eyed Junco,5
S80672443,Tufted Titmouse,5
S80672443,Carolina Wren,2
S80672443,Northern Cardinal,5
S80672443,Red-bellied Woodpecker,1
S80672443,White-throated Sparrow,3
S80672443,Carolina Chickadee,3
S80672443,American Robin,14
S80687182,White-tailed Kite,1
S80687182,Glaucous-winged Gull,3
S80687182,Savannah Sparrow,2
S80687182,Rock Pigeon,40
S80687182,Common Raven,10
S80687182,Red-tailed Hawk,1
S80687182,American Crow,1
S80687182,Surf Scoter,20
S80687182,Willet,14
S80687182,Eurasian Collared-Dove,1
S80687182,Herring x Glaucous-winged Gull (hybrid),1
S80687182,California Gull,20
S80687182,Brown Pelican,1
S80687182,Western Meadowlark,3
S80687182,European Starling,10
S80311230,American Robin,1
S80421167,Eurasian Collared-Dove,1
S80421167,Least Sandpiper,45
S80421167,White-crowned Sparrow,12
S80421167,Eared Grebe,1
S80421167,Great Blue Heron,1
S80421167,European Starling,2
S80421167,Song Sparrow,2
S80421167,Greater Scaup,18
S80421167,Anna's Hummingbird,2
S80421167,Bewick's Wren,1
S80421167,Black-necked Stilt,5
S80421167,Say's Phoebe,1
S80421167,Marbled Godwit,3
S80421167,Ring-billed Gull,10
S80421167,Black Phoebe,3
S80421167,Common Goldeneye,2
S80421167,House Finch,10
S80421167,American Wigeon,4
S80421167,Greater Yellowlegs,4
S80421167,Great Egret,2
S80421167,Long-billed Curlew,1
S80421167,California Towhee,1
S80421167,Double-crested Cormorant,1
S80421167,Red-tailed Hawk,1
S80421167,Snowy Egret,1
S80421167,Western Meadowlark,1
S80421167,Northern Pintail,17
S80421167,Spotted Sandpiper,1
S80421167,Yellow-rumped Warbler,1
S80421167,Willet,50
S80421167,American Crow,5
S80421167,Bufflehead,2
S80421167,Savannah Sparrow,3
S80421167,Northern Shoveler,4
S80276429,Herring Gull,7
S80276429,Bonaparte's Gull,2
S80276429,Brant,2
S80276429,Bufflehead,9
S80276429,Ring-billed Gull,13
S80276429,Lesser Black-backed Gull,1
S80276429,Northern Gannet,1
S80276429,Great Black-backed Gull,2
S80276429,Greater/Lesser Scaup,2
S80276429,Horned Grebe,1
S80276429,Double-crested Cormorant,9
S80276429,Sanderling,45
S80288521,Northern Pintail,X
S80288521,Snowy Egret,1
S80288521,Spotted Sandpiper,2
S80288521,Bufflehead,X
S80288521,Black Phoebe,1
S80288521,Marbled Godwit,100
S80288521,American Coot,X
S80288521,Double-crested Cormorant,2
S80288521,Least Sandpiper,X
S80288521,Greater Scaup,X
S80288521,Forster's Tern,5
S80288521,Greater Yellowlegs,X
S80288521,Great Egret,1
S80288521,Anna's Hummingbird,1
S80288521,Northern Shoveler,X
S80288521,American Wigeon,X
S80288521,Common Goldeneye,X
S80288521,Horned Grebe,X
S80556356,Golden Eagle,3
S80662818,Spotted Sandpiper,1
S80662818,Bufflehead,20
S80662818,Ruddy Duck,10
S80662818,Pied-billed Grebe,1
S80662818,Ring-billed Gull,X
S80662818,American Wigeon,20
S80662818,Least Sandpiper,2
S80662818,American Crow,5
S80662818,Eared Grebe,2
S80662818,Snowy Egret,1
S80662818,Black-necked Stilt,4
S80662818,California Gull,X
S80662818,White-crowned Sparrow,40
S80662818,Glaucous-winged Gull,1
S80662818,Green-winged Teal,3
S80662818,American Avocet,20
S80662818,European Starling,2
S80662818,White-crowned Sparrow,10
S80662818,Canada Goose,2
S80662818,Western Meadowlark,8
S80662818,Lesser Scaup,1
S80662818,Greater/Lesser Scaup,5
S80662818,Western/Clark's Grebe,40
S80662818,Western Gull,X
S80662818,Marsh Wren,1
S80662818,Golden-crowned Sparrow,20
S80662818,Rock Pigeon,1
S80662818,Double-crested Cormorant,6
S80662818,Willet,4
S80662818,Black Oystercatcher,3
S80662818,American Coot,20
S80662818,Mallard,2
S80662818,Herring Gull,X
S80662818,Common Loon,1
S80449432,Northern Mockingbird,2
S80449432,House Sparrow,8
S80449432,American Crow,4
S80449432,Red-bellied Woodpecker,2
S80449432,White-breasted Nuthatch,2
S80449432,Bufflehead,1
S80449432,Belted Kingfisher,1
S80449432,Hooded Merganser,1
S80449432,Blue Jay,2
S80449432,Eastern Bluebird,1
S80449432,Song Sparrow,1
S80449432,Carolina Wren,4
S80449432,Canada Goose,33
S80449432,European Starling,28
S80449432,Great Blue Heron,1
S80449432,Ring-billed Gull,455
S80449432,Tufted Titmouse,1
S80449432,Northern Cardinal,1
S80449432,Carolina Chickadee,2
S80449432,Pileated Woodpecker,1
S80375180,Brown-headed Cowbird,1
S80419549,Red-shouldered Hawk,1
S80524113,Bushtit,15
S80524113,Canada Goose,40
S80524113,Mountain Chickadee,2
S80524113,Hairy Woodpecker,1
S80524113,Eurasian Collared-Dove,2
S80524113,Black-capped Chickadee,5
S80524113,Northern Pintail,2
S80524113,Steller's Jay,5
S80524113,Dark-eyed Junco,12
S80524113,American Crow,10
S80524113,House Finch,4
S80524113,European Starling,80
S80524113,Great Blue Heron,2
S80524113,House Sparrow,10
S80524113,Common Raven,5
S80524113,Lewis's Woodpecker,2
S80524113,American Coot,2
S80524113,American Kestrel,1
S80524113,Mallard,6
S80524113,Common Goldeneye,2
S80524113,Bufflehead,5
S80524113,Canvasback,4
S80524113,Downy Woodpecker,1
S80296449,Rock Pigeon,1
S80296449,Turkey Vulture,1
S80352144,Dark-eyed Junco,11
S80352144,American Crow,3
S80352144,Northern Cardinal,2
S80352144,Carolina Wren,2
S80352144,American Goldfinch,7
S80528335,Mourning Dove,2
S80528335,Red-breasted Nuthatch,1
S80528335,Downy Woodpecker,1
S80528335,European Starling,1
S80528335,Pine Warbler,2
S80528335,Eastern Bluebird,1
S80528335,Carolina Chickadee,1
S80528335,American Goldfinch,1
S80528335,Yellow-rumped Warbler,1
S80421255,Cackling Goose,5
S80444425,House Finch,1
S80444425,American Crow,1
S80444425,Rock Pigeon,4
S80444425,Hermit Thrush,1
S80421807,Northern Flicker,1
S80421807,White-crowned Sparrow,77
S80421807,Rough-legged Hawk,1
S80421807,Savannah Sparrow,1
S80421807,American Crow,1
S80421807,Song Sparrow,11
S80421807,European Starling,8
S80421807,Red-winged Blackbird,3
S80421807,Horned Lark,17
S80421807,Western Meadowlark,2
S80421807,Northern Harrier,2
S80421807,Common Raven,4
S80421807,Black-billed Magpie,2
S80421807,Prairie Falcon,1
S80553788,Golden-crowned Sparrow,2
S80553788,Common Raven,2
S80553788,California Towhee,1
S80553788,California Thrasher,1
S80545322,Mourning Dove,2
S80545322,Northern Cardinal,3
S80545322,American Robin,50
S80545322,Cedar Waxwing,2
S80545322,Carolina Chickadee,1
S80511908,Northern Cardinal,1
S80511908,Dark-eyed Junco,8
S80511908,American Crow,1
S80511908,American Goldfinch,11
S80552871,American Coot,50
S80626000,Canada Goose,3
S80626000,Hooded Merganser,3
S80626000,Mallard,8
S80520786,Song Sparrow,1
S80520786,European Starling,20
S80520786,Ring-billed Gull,200
S80520786,Bonaparte's Gull,6
S80520786,Brant,35
S80520786,Lesser Black-backed Gull,1
S80520786,Brown Pelican,3
S80520786,American Crow,2
S80520786,Bufflehead,15
S80520786,Double-crested Cormorant,25
S80520786,Herring Gull,5
S80520786,Surf Scoter,75
S80520786,Common Loon,2
S80520786,Sanderling,35
S80520786,Great Black-backed Gull,8
S80304183,Bufflehead,9
S80304183,Mallard,14
S80304183,Eastern Bluebird,5
S80304183,Bald Eagle,2
S80304183,Greater White-fronted Goose,150
S80304183,American Crow,26
S80304183,Red-shouldered Hawk,1
S80304183,Canada Goose,125
S80304183,Great Blue Heron,1
S80288925,Turkey Vulture,1
S80288925,Acorn Woodpecker,1
S80288925,Oak Titmouse,1
S80288925,Great Egret,1
S80288925,American White Pelican,8
S80288925,Brewer's Blackbird,5
S80288925,Double-crested Cormorant,2
S80288925,Ruddy Duck,4
S80288925,American Coot,X
S80288925,Red-shouldered Hawk,1
S80288925,Dark-eyed Junco,1
S80288925,Gadwall,2
S80288925,Red-tailed Hawk,1
S80288925,California Scrub-Jay,1
S80288925,Spotted Towhee,1
S80288925,Great-tailed Grackle,4
S80288925,American Wigeon,1
S80288925,Anna's Hummingbird,1
S80288925,Red-winged Blackbird,5
S80288925,Brown Creeper,1
S80288925,Townsend's Warbler,1
S80288925,Rock Pigeon,5
S80288925,Song Sparrow,1
