COMMON NAME
Marsh Wren
Brown-headed Nuthatch
Red-breasted Merganser
Northern Pygmy-Owl
Lincoln's Sparrow
Ferruginous Hawk
Tree Swallow
Marbled Murrelet
Red-breasted Sapsucker
raven sp.
Western Tanager
Black-bellied Plover
Virginia Rail
Prairie Falcon
Common/Red-breasted Merganser
Yellow-crowned Parrot
Hairy Woodpecker
Canvasback
Oak Titmouse
Cinnamon Teal
Nashville Warbler
Carolina Wren
Inca Dove
Verdin
American Wigeon x Mallard (hybrid)
Cackling Goose
Crissal Thrasher
Eurasian Collared-Dove
American Tree Sparrow
Blue Jay
Red Crossbill
White-tailed Kite
Pelagic Cormorant
Allen's Hummingbird
House Sparrow
Pine Warbler
Red-winged Blackbird
Cackling/Canada Goose
Black-necked Stilt
Whimbrel
Long-eared Owl
Great Blue Heron
Great Cormorant
Sandhill Crane
Glaucous-winged Gull
Willet
duck sp.
Nuttall's Woodpecker
Red-masked Parakeet
Sanderling
Tennessee Warbler
Brewer's Blackbird
Common Murre
Bushtit
Eastern Meadowlark
Yellow-headed Blackbird
Canyon Wren
Black-crowned Night-Heron
Bell's Sparrow
Lesser Scaup
Ring-billed Gull
Boat-tailed Grackle
Cassin's Kingbird
loon sp.
Harlequin Duck
Glaucous Gull
American Woodcock
Gray Catbird
Double-crested Cormorant
California Condor
Bonaparte's Gull
American Bittern
Least Sandpiper
Steller's Jay
Horned Grebe
new world goldfinch sp.
Greater Yellowlegs
Red-bellied Woodpecker
Phainopepla
Black-headed Gull
Swan Goose (Domestic type)
Swainson's Hawk
Carolina/Black-capped Chickadee
Rufous-crowned Sparrow
Green Heron
Sora
Northern Fulmar
Bewick's Wren
Fish Crow
Long-tailed Duck
Sharp-shinned Hawk
Downy/Hairy Woodpecker
Bald Eagle
Mitred Parakeet
Mountain Chickadee
Eurasian/African Collared-Dove
American Oystercatcher
Ring-necked Duck
Accipiter sp.
Red Junglefowl (Domestic type)
Rufous Hummingbird
Yellow-rumped Warbler
Mallard
Common Raven
hawk sp.
Common Gallinule
Scaly-breasted Munia
Peregrine Falcon
Surf/Black Scoter
Hutton's Vireo
Horned/Eared Grebe
Herring Gull
Black-capped Chickadee
Mute Swan
Barn Owl
Smith's Longspur
American Dipper
Golden Eagle
Spotted Sandpiper
Long-billed Curlew
American Wigeon
Trumpeter Swan
House Wren
Western/Clark's Grebe
Western Screech-Owl
Western Grebe
Common Redpoll
Sharp-shinned/Cooper's Hawk
Canada Goose
Belted Kingfisher
Aythya sp.
Red-tailed Hawk
Brown-capped Rosy-Finch
Black-legged Kittiwake
Yellow-bellied Sapsucker
shorebird sp.
Cassin's Finch
Canada Jay
Red-breasted Nuthatch
Townsend's/Hermit Warbler
American Pipit
Snowy Owl
California Thrasher
Red-naped Sapsucker
Greater Roadrunner
Snow Bunting
Band-tailed Pigeon
European Starling
Chestnut-backed Chickadee
Hermit Thrush
Gadwall
Merlin
Gray-crowned Rosy-Finch
Pied-billed Grebe
Red-necked Grebe
Brandt's Cormorant
Northern Rough-winged Swallow
white-winged gull sp.
White-headed Woodpecker
white egret sp.
Sagebrush Sparrow
goose sp.
American Goldfinch
Winter Wren
Northern Bobwhite
Ridgway's Rail
Ruby-crowned Kinglet
Yellow Warbler
Palm Warbler
Savannah Sparrow
Lapland Longspur
Short-billed Gull
Ross's Goose
Say's Phoebe
Brewer's Sparrow
Downy Woodpecker
White-faced Ibis
Lesser Yellowlegs
Mountain Bluebird
California Towhee
Common Merganser
Tree/Violet-green Swallow
owl sp.
swallow sp.
Anna's Hummingbird
American Avocet
Common Eider
Marbled Godwit
California Gull
Brown-headed Cowbird
Loggerhead Shrike
Northern Saw-whet Owl
Great-tailed Grackle
gull sp.
Chukar
Calidris sp.
falcon sp.
Purple Finch
Bullock's Oriole
Ladder-backed Woodpecker
Surfbird
Western Sandpiper
Yellow-billed Magpie
Cattle Egret
sapsucker sp.
Domestic goose sp. (Domestic type) x Canada Goose (hybrid)
Northern Harrier
Forster's Tern
Chipping Sparrow
Spizella sp.
crow/raven sp.
Northern Pintail
Mountain Quail
Pileated Woodpecker
American Black Duck
woodpecker sp.
crow sp.
Hooded Merganser
Sagebrush/Bell's Sparrow (Sage Sparrow)
Common Grackle
Rock Wren
Tricolored Blackbird
Snowy Egret
Lesser Goldfinch
Pinyon Jay
Domestic goose sp. (Domestic type)
Painted Bunting
Blue Grosbeak
sparrow sp.
Clapper Rail
Violet-green Swallow
Song Sparrow
Black-headed Grosbeak
Hermit Warbler
new world vulture sp.
Common Yellowthroat
Red Knot
Rough-legged Hawk
Snow Goose
Green-winged Teal
Blue-winged Teal
White-winged Scoter
Red-naped x Red-breasted Sapsucker (hybrid)
Horned Lark
Brant
Eurasian Wigeon
California Scrub-Jay
Vermilion Flycatcher
scoter sp.
Summer Tanager
Larus sp.
Mallard x Mexican Duck (hybrid)
Pine Siskin
Semipalmated Plover
Ruddy Duck
Neotropic Cormorant
Abert's Towhee
Red-throated Loon
Black Phoebe
American Robin
Heermann's Gull
Surf Scoter
Harris's Sparrow
Ruddy Turnstone
Tufted Titmouse
Townsend's Warbler
blackbird sp.
White Wagtail
Mitred/Red-masked Parakeet
wren sp.
White-throated Swift
